Accession	Protein	Gene	Gene_protein	X153173_BSA_d3_H	X153173_IL13_d3_H	X153741_BSA_d3_H	X153741_IL13_d3_H	X154142_BSA_d3_A	X154142_IL13_d3_A	X154417_BSA_d3_A	X154417_IL13_d3_A	X154651_BSA_d3_A	X154651_IL13_d3_A	X155404_BSA_d3_H	X155404_IL13_d3_H
KAD1_HUMAN	Adenylate kinase isoenzyme 1 OS=Homo sapiens GN=AK1 PE=1 SV=3	AK1	AK1_KAD1	0	0	3	0	3	2	3	3	1	2	0	1
KAD2_HUMAN	"Adenylate kinase 2, mitochondrial OS=Homo sapiens GN=AK2 PE=1 SV=2"	AK2	AK2_KAD2	0	2	0	0	0	0	0	2	1	1	0	0
KAD3_HUMAN	"GTP:AMP phosphotransferase AK3, mitochondrial OS=Homo sapiens GN=AK3 PE=1 SV=4"	AK3	AK3_KAD3	0	2	1	1	2	1	1	2	0	2	2	2
AK1A1_HUMAN	Alcohol dehydrogenase [NADP(+)] OS=Homo sapiens GN=AKR1A1 PE=1 SV=3	AKR1A1	AKR1A1_AK1A1	2	5	4	3	1	1	2	2	2	3	1	1
AK1C1_HUMAN	Aldo-keto reductase family 1 member C1 OS=Homo sapiens GN=AKR1C1 PE=1 SV=1	AKR1C1	AKR1C1_AK1C1	3	2	2	1	2	0	3	0	3	0	3	1
AK1C3_HUMAN	Aldo-keto reductase family 1 member C3 OS=Homo sapiens GN=AKR1C3 PE=1 SV=4	AKR1C3	AKR1C3_AK1C3	3	1	0	0	1	0	0	0	0	2	0	0
ALBU_HUMAN	Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2	ALB	ALB_ALBU	2	3	2	3	3	4	2	2	2	3	3	3
CD166_HUMAN	CD166 antigen OS=Homo sapiens GN=ALCAM PE=1 SV=2	ALCAM	ALCAM_CD166	1	0	1	0	0	0	1	0	0	1	0	1
P5CS_HUMAN	Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens GN=ALDH18A1 PE=1 SV=2	ALDH18A1	ALDH18A1_P5CS	0	2	1	0	1	3	0	3	0	3	1	3
AL1A1_HUMAN	Retinal dehydrogenase 1 OS=Homo sapiens GN=ALDH1A1 PE=1 SV=2	ALDH1A1	ALDH1A1_AL1A1	10	18	12	14	3	15	6	18	12	15	11	18
AL1A2_HUMAN	Retinal dehydrogenase 2 OS=Homo sapiens GN=ALDH1A2 PE=1 SV=3	ALDH1A2	ALDH1A2_AL1A2	0	0	0	0	0	0	0	0	0	2	0	0
AL1A3_HUMAN	Aldehyde dehydrogenase family 1 member A3 OS=Homo sapiens GN=ALDH1A3 PE=1 SV=2	ALDH1A3	ALDH1A3_AL1A3	0	4	2	5	1	4	0	4	3	4	0	3
ALDH2_HUMAN	"Aldehyde dehydrogenase, mitochondrial OS=Homo sapiens GN=ALDH2 PE=1 SV=2"	ALDH2	ALDH2_ALDH2	6	4	10	4	1	5	7	6	10	6	7	6
AL3A1_HUMAN	"Aldehyde dehydrogenase, dimeric NADP-preferring OS=Homo sapiens GN=ALDH3A1 PE=1 SV=3"	ALDH3A1	ALDH3A1_AL3A1	3	4	6	5	0	0	5	5	5	4	2	2
AL3A2_HUMAN	Fatty aldehyde dehydrogenase OS=Homo sapiens GN=ALDH3A2 PE=1 SV=1	ALDH3A2	ALDH3A2_AL3A2	0	0	0	0	0	0	0	0	0	1	0	0
AL3B1_HUMAN	Aldehyde dehydrogenase family 3 member B1 OS=Homo sapiens GN=ALDH3B1 PE=1 SV=1	ALDH3B1	ALDH3B1_AL3B1	1	0	0	0	2	0	0	0	1	0	1	0
AL4A1_HUMAN	"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Homo sapiens GN=ALDH4A1 PE=1 SV=3"	ALDH4A1	ALDH4A1_AL4A1	0	1	2	0	0	0	0	0	0	0	0	0
MMSA_HUMAN	"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Homo sapiens GN=ALDH6A1 PE=1 SV=2"	ALDH6A1	ALDH6A1_MMSA	0	2	0	0	0	0	0	2	0	0	0	1
AL9A1_HUMAN	4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens GN=ALDH9A1 PE=1 SV=3	ALDH9A1	ALDH9A1_AL9A1	0	0	0	1	0	0	2	2	0	0	0	0
ALDOA_HUMAN	Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2	ALDOA	ALDOA_ALDOA	9	12	7	13	8	9	11	8	8	10	7	9
LOX15_HUMAN	Arachidonate 15-lipoxygenase OS=Homo sapiens GN=ALOX15 PE=1 SV=3	ALOX15	ALOX15_LOX15	6	39	5	32	4	34	7	45	10	37	5	35
PPBT_HUMAN	"Alkaline phosphatase, tissue-nonspecific isozyme OS=Homo sapiens GN=ALPL PE=1 SV=4"	ALPL	ALPL_PPBT	0	7	0	4	0	5	0	8	2	8	0	5
ANR17_HUMAN	Ankyrin repeat domain-containing protein 17 OS=Homo sapiens GN=ANKRD17 PE=1 SV=3	ANKRD17	ANKRD17_ANR17	0	0	0	0	0	0	0	1	0	0	0	0
AN18B_HUMAN	Ankyrin repeat domain-containing protein 18B OS=Homo sapiens GN=ANKRD18B PE=1 SV=1	ANKRD18B	ANKRD18B_AN18B	0	0	0	1	0	0	0	0	0	0	0	0
AN32A_HUMAN	Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens GN=ANP32A PE=1 SV=1	ANP32A	ANP32A_AN32A	0	1	1	0	0	0	1	1	0	1	0	0
AN32E_HUMAN	Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens GN=ANP32E PE=1 SV=1	ANP32E	ANP32E_AN32E	0	0	0	0	0	0	0	0	0	0	1	0
AMPN_HUMAN	Aminopeptidase N OS=Homo sapiens GN=ANPEP PE=1 SV=4	ANPEP	ANPEP_AMPN	0	0	0	0	4	0	0	0	0	0	0	0
ANXA1_HUMAN	Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2	ANXA1	ANXA1_ANXA1	16	23	13	16	14	19	16	19	16	20	13	16
ANX11_HUMAN	Annexin A11 OS=Homo sapiens GN=ANXA11 PE=1 SV=1	ANXA11	ANXA11_ANX11	6	5	6	4	5	4	5	5	4	6	4	7
ANXA2_HUMAN	Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2	ANXA2	ANXA2_ANXA2	18	23	21	22	22	23	21	22	20	24	21	23
ANXA3_HUMAN	Annexin A3 OS=Homo sapiens GN=ANXA3 PE=1 SV=3	ANXA3	ANXA3_ANXA3	2	9	0	8	3	8	2	9	2	9	2	12
ANXA4_HUMAN	Annexin A4 OS=Homo sapiens GN=ANXA4 PE=1 SV=4	ANXA4	ANXA4_ANXA4	14	13	10	11	6	9	13	10	10	10	8	11
ANXA5_HUMAN	Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2	ANXA5	ANXA5_ANXA5	5	7	6	5	8	9	3	7	9	9	6	8
ANXA6_HUMAN	Annexin A6 OS=Homo sapiens GN=ANXA6 PE=1 SV=3	ANXA6	ANXA6_ANXA6	0	2	0	2	0	1	0	1	0	1	0	2
ANXA7_HUMAN	Annexin A7 OS=Homo sapiens GN=ANXA7 PE=1 SV=3	ANXA7	ANXA7_ANXA7	1	0	2	1	2	1	1	2	1	2	2	2
ANXA8_HUMAN	Annexin A8 OS=Homo sapiens GN=ANXA8 PE=1 SV=3	ANXA8	ANXA8_ANXA8	0	1	0	1	0	0	0	0	0	0	0	0
AP1B1_HUMAN	AP-1 complex subunit beta-1 OS=Homo sapiens GN=AP1B1 PE=1 SV=2	AP1B1	AP1B1_AP1B1	0	0	1	0	0	0	0	0	0	0	0	0
AP1G1_HUMAN	AP-1 complex subunit gamma-1 OS=Homo sapiens GN=AP1G1 PE=1 SV=5	AP1G1	AP1G1_AP1G1	0	1	0	0	0	0	0	0	0	0	0	0
AP1M2_HUMAN	AP-1 complex subunit mu-2 OS=Homo sapiens GN=AP1M2 PE=1 SV=4	AP1M2	AP1M2_AP1M2	0	1	0	0	0	1	0	0	0	1	0	0
AP2A1_HUMAN	AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 PE=1 SV=3	AP2A1	AP2A1_AP2A1	0	0	0	0	0	1	0	0	0	0	0	0
AP2B1_HUMAN	AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1	AP2B1	AP2B1_AP2B1	0	0	0	0	0	0	0	0	0	1	0	0
APEX1_HUMAN	DNA-(apurinic or apyrimidinic site) lyase OS=Homo sapiens GN=APEX1 PE=1 SV=2	APEX1	APEX1_APEX1	0	0	1	0	0	0	1	0	0	1	0	0
APMAP_HUMAN	Adipocyte plasma membrane-associated protein OS=Homo sapiens GN=APMAP PE=1 SV=2	APMAP	APMAP_APMAP	0	0	0	1	0	0	0	0	0	0	0	0
APOL2_HUMAN	Apolipoprotein L2 OS=Homo sapiens GN=APOL2 PE=1 SV=1	APOL2	APOL2_APOL2	0	1	0	1	0	1	0	1	0	1	0	0
MIC26_HUMAN	MICOS complex subunit MIC26 OS=Homo sapiens GN=APOO PE=1 SV=1	APOO	APOO_MIC26	0	0	0	0	1	0	0	0	0	0	0	0
APT_HUMAN	Adenine phosphoribosyltransferase OS=Homo sapiens GN=APRT PE=1 SV=2	APRT	APRT_APT	1	0	0	1	0	0	0	1	1	0	0	1
AQP5_HUMAN	Aquaporin-5 OS=Homo sapiens GN=AQP5 PE=1 SV=1	AQP5	AQP5_AQP5	0	0	1	0	1	0	0	1	0	0	1	0
COPD_HUMAN	Coatomer subunit delta OS=Homo sapiens GN=ARCN1 PE=1 SV=1	ARCN1	ARCN1_COPD	0	2	2	2	1	0	1	1	0	1	1	2
ARF1_HUMAN	ADP-ribosylation factor 1 OS=Homo sapiens GN=ARF1 PE=1 SV=2	ARF1	ARF1_ARF1	2	4	6	4	4	3	7	7	5	6	5	6
ARF4_HUMAN	ADP-ribosylation factor 4 OS=Homo sapiens GN=ARF4 PE=1 SV=3	ARF4	ARF4_ARF4	1	2	3	2	2	1	0	1	0	2	2	1
ARF5_HUMAN	ADP-ribosylation factor 5 OS=Homo sapiens GN=ARF5 PE=1 SV=2	ARF5	ARF5_ARF5	0	0	0	0	0	0	0	2	0	0	0	0
ARF6_HUMAN	ADP-ribosylation factor 6 OS=Homo sapiens GN=ARF6 PE=1 SV=2	ARF6	ARF6_ARF6	0	1	0	0	1	0	2	1	0	0	1	0
RHG01_HUMAN	Rho GTPase-activating protein 1 OS=Homo sapiens GN=ARHGAP1 PE=1 SV=1	ARHGAP1	ARHGAP1_RHG01	0	1	2	2	0	0	1	3	0	0	1	1
RHG18_HUMAN	Rho GTPase-activating protein 18 OS=Homo sapiens GN=ARHGAP18 PE=1 SV=3	ARHGAP18	ARHGAP18_RHG18	0	0	0	0	1	0	0	0	1	0	0	0
GDIR1_HUMAN	Rho GDP-dissociation inhibitor 1 OS=Homo sapiens GN=ARHGDIA PE=1 SV=3	ARHGDIA	ARHGDIA_GDIR1	0	2	1	3	0	1	0	1	0	2	1	0
GDIR2_HUMAN	Rho GDP-dissociation inhibitor 2 OS=Homo sapiens GN=ARHGDIB PE=1 SV=3	ARHGDIB	ARHGDIB_GDIR2	0	0	1	0	0	0	0	0	0	0	0	0
PRAF3_HUMAN	PRA1 family protein 3 OS=Homo sapiens GN=ARL6IP5 PE=1 SV=1	ARL6IP5	ARL6IP5_PRAF3	0	1	1	2	2	2	1	2	1	3	1	1
ARL8A_HUMAN	ADP-ribosylation factor-like protein 8A OS=Homo sapiens GN=ARL8A PE=1 SV=1	ARL8A	ARL8A_ARL8A	0	1	0	1	1	1	1	1	0	2	0	1
ARL8B_HUMAN	ADP-ribosylation factor-like protein 8B OS=Homo sapiens GN=ARL8B PE=1 SV=1	ARL8B	ARL8B_ARL8B	0	0	0	0	0	0	0	0	0	0	1	0
ARC1B_HUMAN	Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens GN=ARPC1B PE=1 SV=3	ARPC1B	ARPC1B_ARC1B	1	0	2	3	0	0	1	0	1	2	0	0
ARPC2_HUMAN	Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens GN=ARPC2 PE=1 SV=1	ARPC2	ARPC2_ARPC2	0	2	0	2	1	1	0	2	1	1	0	1
ARPC3_HUMAN	Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens GN=ARPC3 PE=1 SV=3	ARPC3	ARPC3_ARPC3	0	0	0	1	0	0	0	1	0	0	0	0
ARPC4_HUMAN	Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens GN=ARPC4 PE=1 SV=3	ARPC4	ARPC4_ARPC4	0	0	0	0	1	0	1	1	0	1	0	0
ARPC5_HUMAN	Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens GN=ARPC5 PE=1 SV=3	ARPC5	ARPC5_ARPC5	0	0	0	0	0	1	0	0	0	1	0	0
ARP5L_HUMAN	Actin-related protein 2/3 complex subunit 5-like protein OS=Homo sapiens GN=ARPC5L PE=1 SV=1	ARPC5L	ARPC5L_ARP5L	0	2	1	1	0	0	0	0	0	1	0	0
ASAH1_HUMAN	Acid ceramidase OS=Homo sapiens GN=ASAH1 PE=1 SV=5	ASAH1	ASAH1_ASAH1	2	1	4	2	2	0	3	2	0	1	3	2
ARLY_HUMAN	Argininosuccinate lyase OS=Homo sapiens GN=ASL PE=1 SV=4	ASL	ASL_ARLY	0	0	0	0	0	1	0	0	0	1	0	1
ASNA_HUMAN	ATPase ASNA1 OS=Homo sapiens GN=ASNA1 PE=1 SV=2	ASNA1	ASNA1_ASNA	0	1	0	0	0	0	0	0	0	0	0	0
ASPH_HUMAN	Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens GN=ASPH PE=1 SV=3	ASPH	ASPH_ASPH	1	1	2	1	1	1	1	2	1	1	1	3
ASSY_HUMAN	Argininosuccinate synthase OS=Homo sapiens GN=ASS1 PE=1 SV=2	ASS1	ASS1_ASSY	1	6	8	3	1	1	3	3	3	2	2	1
ATD3B_HUMAN	ATPase family AAA domain-containing protein 3B OS=Homo sapiens GN=ATAD3B PE=1 SV=1	ATAD3B	ATAD3B_ATD3B	0	0	0	0	0	0	0	2	0	2	0	0
PUR9_HUMAN	Bifunctional purine biosynthesis protein PURH OS=Homo sapiens GN=ATIC PE=1 SV=3	ATIC	ATIC_PUR9	0	1	1	0	0	0	0	0	0	0	0	0
AT12A_HUMAN	Potassium-transporting ATPase alpha chain 2 OS=Homo sapiens GN=ATP12A PE=1 SV=3	ATP12A	ATP12A_AT12A	0	10	2	5	0	3	0	13	3	4	1	6
AT1A1_HUMAN	Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1 PE=1 SV=1	ATP1A1	ATP1A1_AT1A1	9	18	11	20	6	15	11	23	8	17	6	17
AT1B1_HUMAN	Sodium/potassium-transporting ATPase subunit beta-1 OS=Homo sapiens GN=ATP1B1 PE=1 SV=1	ATP1B1	ATP1B1_AT1B1	0	3	1	2	1	2	2	2	0	2	1	3
AT2A2_HUMAN	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens GN=ATP2A2 PE=1 SV=1	ATP2A2	ATP2A2_AT2A2	2	2	5	1	3	3	1	1	3	5	0	2
ATPA_HUMAN	"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1"	ATP5A1	ATP5A1_ATPA	10	17	15	15	15	15	11	15	11	13	12	11
ATPB_HUMAN	"ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3"	ATP5B	ATP5B_ATPB	20	32	26	25	22	27	25	29	18	31	22	24
ATPG_HUMAN	"ATP synthase subunit gamma, mitochondrial OS=Homo sapiens GN=ATP5C1 PE=1 SV=1"	ATP5C1	ATP5C1_ATPG	0	1	1	2	0	0	1	2	0	1	0	1
ATPD_HUMAN	"ATP synthase subunit delta, mitochondrial OS=Homo sapiens GN=ATP5D PE=1 SV=2"	ATP5D	ATP5D_ATPD	1	2	1	2	1	1	1	2	1	2	1	2
AT5EL_HUMAN	"ATP synthase subunit epsilon-like protein, mitochondrial OS=Homo sapiens GN=ATP5EP2 PE=3 SV=1"	ATP5EP2	ATP5EP2_AT5EL	1	1	1	1	0	0	0	0	0	0	0	0
AT5F1_HUMAN	"ATP synthase F(0) complex subunit B1, mitochondrial OS=Homo sapiens GN=ATP5F1 PE=1 SV=2"	ATP5F1	ATP5F1_AT5F1	2	2	2	2	2	1	3	2	1	1	1	2
ATP5H_HUMAN	"ATP synthase subunit d, mitochondrial OS=Homo sapiens GN=ATP5H PE=1 SV=3"	ATP5H	ATP5H_ATP5H	2	5	5	4	5	2	3	3	2	3	4	3
ATP5I_HUMAN	"ATP synthase subunit e, mitochondrial OS=Homo sapiens GN=ATP5I PE=1 SV=2"	ATP5I	ATP5I_ATP5I	1	0	1	1	0	1	1	1	0	1	0	0
ATP5J_HUMAN	"ATP synthase-coupling factor 6, mitochondrial OS=Homo sapiens GN=ATP5J PE=1 SV=1"	ATP5J	ATP5J_ATP5J	1	2	1	1	0	1	1	2	1	1	0	1
ATPK_HUMAN	"ATP synthase subunit f, mitochondrial OS=Homo sapiens GN=ATP5J2 PE=1 SV=3"	ATP5J2	ATP5J2_ATPK	0	1	1	1	0	1	0	0	0	1	0	1
ATP5L_HUMAN	"ATP synthase subunit g, mitochondrial OS=Homo sapiens GN=ATP5L PE=1 SV=3"	ATP5L	ATP5L_ATP5L	0	0	1	0	0	0	0	0	0	0	0	0
